"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"08/03/2020","53,900.0","66,000.0","66,000.0","48,600.0","3.06M","-20.38%"
"01/03/2020","67,700.0","67,000.0","69,400.0","66,600.0","972.61K","0.89%"
"23/02/2020","67,100.0","72,000.0","72,000.0","63,700.0","1.41M","-7.96%"
"16/02/2020","72,900.0","74,100.0","76,144.8","72,347.3","951.96K","-1.62%"
"09/02/2020","74,100.0","69,815.7","74,976.4","67,770.8","1.55M","5.99%"
"02/02/2020","69,913.0","63,291.7","71,860.5","60,175.8","1.63M","9.62%"
"26/01/2020","63,778.6","67,186.6","67,186.6","63,778.6","477.36K","-5.07%"
"19/01/2020","67,186.6","65,628.7","67,186.6","64,070.7","585.66K","2.22%"
"12/01/2020","65,726.0","64,168.1","66,407.6","61,052.2","1.26M","-0.42%"
"05/01/2020","66,000.0","68,000.0","68,700.0","64,600.0","1.37M","-2.94%"
"29/12/2019","68,000.0","79,000.0","81,000.0","64,000.0","2.55M","-13.92%"
"22/12/2019","79,000.0","79,900.0","81,000.0","76,500.0","669.33K","-1.13%"
"15/12/2019","79,900.0","83,200.0","85,000.0","79,900.0","637.31K","-3.73%"
"08/12/2019","83,000.0","77,900.0","84,400.0","77,500.0","751.28K","6.55%"
"01/12/2019","77,900.0","81,000.0","81,400.0","73,600.0","868.40K","-3.23%"
"24/11/2019","80,500.0","84,200.0","84,900.0","78,300.0","1.06M","-4.17%"
"17/11/2019","84,000.0","85,800.0","87,900.0","83,500.0","912.47K","-2.10%"
"10/11/2019","85,800.0","88,500.0","88,500.0","84,600.0","1.20M","-3.05%"
"03/11/2019","88,500.0","86,200.0","91,700.0","85,700.0","1.87M","2.67%"
"27/10/2019","86,200.0","88,000.0","88,600.0","84,100.0","1.13M","-2.60%"
"20/10/2019","88,500.0","84,100.0","89,600.0","84,000.0","1.15M","3.87%"
"13/10/2019","85,200.0","93,400.0","93,700.0","81,500.0","2.39M","-9.36%"
"06/10/2019","94,000.0","95,500.0","104,000.0","89,900.0","2.52M","-11.40%"
"29/09/2019","106,100.0","103,489.0","108,977.0","99,961.0","1.58M","2.52%"
"22/09/2019","103,489.0","94,179.0","104,959.0","93,885.0","1.96M","8.98%"
"15/09/2019","94,963.0","86,731.0","96,531.0","86,731.0","2.33M","10.36%"
"08/09/2019","86,045.0","82,223.0","86,535.0","78,401.0","1.19M","4.65%"
"01/09/2019","82,223.0","87,907.0","88,005.0","79,381.0","1.81M","-6.26%"
"25/08/2019","87,711.0","84,771.0","89,965.0","84,771.0","1.38M","0.82%"
"18/08/2019","87,000.0","87,035.0","89,800.0","85,800.0","1.72M","-0.60%"
"11/08/2019","87,524.0","84,591.0","90,458.0","82,732.0","2.74M","4.56%"
"04/08/2019","83,710.0","83,124.0","85,275.0","81,168.0","2.12M","0.70%"
"28/07/2019","83,124.0","75,300.0","83,124.0","72,366.0","2.55M","10.10%"
"21/07/2019","75,496.0","76,865.0","78,332.0","74,322.0","1.42M","-2.03%"
"14/07/2019","77,060.0","73,344.0","79,896.0","72,269.0","1.79M","3.58%"
"07/07/2019","74,400.0","68,000.0","75,600.0","66,900.0","2.17M","9.41%"
"30/06/2019","68,000.0","61,000.0","68,500.0","60,500.0","1.46M","13.14%"
