"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"08/03/2020","6,300.0","6,400.0","7,700.0","6,300.0","16.90K","-10.00%"
"01/03/2020","7,000.0","7,000.0","7,000.0","6,900.0","0.42K","9.38%"
"23/02/2020","6,400.0","6,500.0","6,900.0","6,100.0","2.02K","-8.57%"
"16/02/2020","7,000.0","6,600.0","7,200.0","6,600.0","0.80K","-2.78%"
"09/02/2020","7,200.0","7,200.0","7,200.0","6,100.0","3.77K","9.09%"
"02/02/2020","6,600.0","8,200.0","8,200.0","6,600.0","7.70K","-12.00%"
"26/01/2020","7,500.0","8,200.0","8,200.0","7,500.0","0.50K","0.00%"
"19/01/2020","7,500.0","7,600.0","8,300.0","7,500.0","1.50K","-10.71%"
"12/01/2020","8,400.0","8,400.0","8,400.0","8,400.0","0.90K","-9.68%"
"05/01/2020","9,300.0","8,600.0","9,300.0","8,600.0","499.70K","-2.11%"
"29/12/2019","9,500.0","10,000.0","10,000.0","9,500.0","0.20K","0.00%"
"03/11/2019","9,500.0","9,500.0","9,500.0","9,500.0","0.10K","18.75%"
"27/10/2019","8,000.0","8,000.0","8,000.0","8,000.0","-","0.00%"
"13/10/2019","8,000.0","8,000.0","8,000.0","8,000.0","-","-8.05%"
"29/09/2019","8,700.0","8,700.0","8,700.0","8,700.0","0.10K","7.41%"
"22/09/2019","8,100.0","7,700.0","8,100.0","7,600.0","0.60K","9.46%"
"15/09/2019","7,400.0","7,800.0","7,800.0","7,100.0","2.90K","1.37%"
"08/09/2019","7,300.0","7,500.0","7,600.0","7,300.0","5.43K","0.00%"
"01/09/2019","7,300.0","7,300.0","7,300.0","7,300.0","1.40K","-1.35%"
"25/08/2019","7,400.0","7,400.0","7,400.0","7,400.0","1.40K","0.00%"
"18/08/2019","7,400.0","7,200.0","7,500.0","7,000.0","2.90K","-1.33%"
"11/08/2019","7,500.0","7,423.0","7,688.0","7,200.0","27.63K","1.04%"
"04/08/2019","7,423.0","7,070.0","7,423.0","6,628.0","101.64K","6.33%"
"28/07/2019","6,981.0","7,335.0","7,423.0","6,716.0","51.60K","-4.83%"
"21/07/2019","7,335.0","6,805.0","7,423.0","6,805.0","27.90K","-1.19%"
"14/07/2019","7,423.0","7,423.0","7,423.0","7,423.0","22.70K","0.00%"
"07/07/2019","7,423.0","8,042.0","8,042.0","7,247.0","3.10K","-14.68%"
"23/06/2019","8,700.0","8,700.0","8,700.0","8,700.0","12.20K","0.00%"
"16/06/2019","8,700.0","8,700.0","8,700.0","8,700.0","1.10K","0.00%"
"09/06/2019","8,700.0","8,700.0","8,700.0","8,700.0","5.80K","0.00%"
"02/06/2019","8,700.0","8,700.0","8,700.0","8,700.0","0.10K","-3.33%"
"26/05/2019","9,000.0","9,000.0","9,000.0","9,000.0","12.90K","0.00%"
"19/05/2019","9,000.0","8,500.0","9,000.0","8,500.0","19.60K","5.88%"
"12/05/2019","8,500.0","8,500.0","9,000.0","8,500.0","4.28K","-5.56%"
"05/05/2019","9,000.0","8,300.0","9,400.0","8,300.0","1.82K","1.12%"
"21/04/2019","8,900.0","9,000.0","9,000.0","8,900.0","10.00K","0.00%"
"14/04/2019","8,900.0","9,200.0","9,200.0","8,900.0","8.03K","-10.10%"
